id,k1,k2,k3,k4,k5,k6,month,dismiss
1,1.594662578,-0.279814467,-3.306242391,-0.951218328,-0.894847406,0.415643722,1,0
2,0.796083509,-0.279814467,1.282275727,1.376811232,0.894847406,0.415643722,1,0
3,-0.801074628,-0.279814467,0.823423915,0.212796452,-0.894847406,1.305315903,1,0
5,-1.599653697,-0.279814467,0.249859151,0.212796452,0,-1.36370064,1,0
6,-0.801074628,-0.279814467,1.282275727,1.376811232,0.894847406,1.305315903,1,0
7,-0.801074628,-0.279814467,0.479285057,0.212796452,2.684542217,1.305315903,1,0
9,-0.801074628,-0.279814467,0.020433245,0.212796452,0,0.415643722,1,0
10,-1.599653697,-0.279814467,1.167562774,1.376811232,0,1.305315903,1,0
11,1.594662578,-0.279814467,-0.323705614,-0.951218328,0.894847406,0.415643722,1,0
12,1.594662578,-0.279814467,0.249859151,0.212796452,2.684542217,-0.474028459,1,0
13,-0.00249556,-0.279814467,-1.011983332,-0.951218328,-0.894847406,0.415643722,1,0
14,-0.801074628,-0.279814467,1.282275727,1.376811232,0.894847406,0.415643722,1,0
17,-0.00249556,-0.279814467,-0.208992661,-0.951218328,0,0.415643722,1,0
18,1.594662578,-0.279814467,-2.273825814,-0.951218328,0,-0.474028459,1,0
19,-0.00249556,-0.279814467,1.282275727,2.540826012,-0.894847406,-0.474028459,1,0
21,1.594662578,-0.279814467,0.249859151,0.212796452,-0.894847406,-1.36370064,1,0
22,-0.00249556,-0.279814467,1.282275727,1.376811232,-0.894847406,-1.36370064,1,0
23,1.594662578,-0.279814467,1.282275727,1.376811232,0,-0.474028459,1,0
24,-0.00249556,-0.279814467,-0.782557426,-0.951218328,-0.894847406,-0.474028459,1,0
25,-1.599653697,-0.279814467,1.282275727,1.376811232,-0.894847406,1.305315903,1,0
26,-0.801074628,-0.279814467,-0.323705614,-0.951218328,-0.894847406,0.415643722,1,0
28,1.594662578,-0.279814467,1.282275727,1.376811232,-0.894847406,1.305315903,1,0
29,0.796083509,-0.279814467,0.364572104,0.212796452,2.684542217,1.305315903,1,0
30,-1.599653697,-0.279814467,-0.782557426,-0.951218328,0.894847406,1.305315903,1,0
31,-0.801074628,-0.279814467,0.020433245,0.212796452,0.894847406,-1.36370064,1,0
32,-0.801074628,-0.279814467,0.823423915,0.212796452,0,-0.474028459,1,0
33,-0.00249556,-0.279814467,-0.897270379,-0.951218328,-0.894847406,-1.36370064,1,0
34,-0.801074628,-0.279814467,-1.470835143,-0.951218328,0,-1.36370064,1,0
35,-0.00249556,-0.279814467,1.282275727,1.376811232,0.894847406,-0.474028459,1,0
40,-0.00249556,-0.279814467,-0.667844473,-0.951218328,-0.894847406,0.415643722,1,0
41,1.594662578,-0.279814467,-0.667844473,-0.951218328,0,-0.474028459,1,0
